   53712.878108    5096.6273     725.2881    5086.0887     725.3188    0.9244
   53714.019653    4877.8938     648.8055    4869.5846     648.8381    0.9495
   53714.818549    4421.4176     739.0147    4417.5713     739.0326    0.9189
   53717.981794    4327.9430     460.6883    4320.4712     460.7364    0.8829
   53726.817166    4867.1042     485.1483    4851.4804     485.2018    0.8660
   53726.976577    4783.6817     553.7074    4779.8060     553.7389    0.9722
   53728.829957    4219.1636     532.8680    4211.0816     532.9027    0.9314
   53728.969178    4366.5950     575.6251    4362.2009     575.6523    0.9467
   53730.822405    4647.7717     569.0894    4647.7402     569.1080    0.9469
   53734.822374    4564.7809     451.2084    4564.5625     451.2472    0.9615
   53734.965526    4492.8758     721.7614    4488.0586     721.7813    0.9390
   53735.841266    4276.7503     441.7527    4240.9638     441.8066    0.7196
   53735.973014    4975.2277     629.7476    4971.8280     629.7692    0.9544
   53737.832088    3830.2119     814.1286    3826.0025     814.1449    0.7909
   53737.991185    4129.4744     944.5973    4117.7211     944.6205    0.6803
   53756.822887    3702.2991     866.6257    3697.0873     866.6446    0.8512
   53766.853972    4523.7992     406.1719    4503.3836     406.2792    0.9009
   53966.139752    5332.0837     513.7194    5318.5733     513.7696    0.9536
   53967.130524    5324.7001     513.0815    5316.8750     513.1268    0.9784
   53968.072106    5494.2975     489.9735    5476.3640     490.0358    0.9439
   53968.164800    5232.6547     577.4567    5228.5727     577.4857    0.9790
   53968.977293    5461.6234     751.1755    5457.4454     751.1950    0.9153
   53969.170740    5722.7587     673.7182    5718.2546     673.7440    0.9640
   53969.990296    5565.3299     474.7418    5559.0938     474.7868    0.9809
   53971.983848    5741.8266     572.7582    5736.3126     572.7908    0.9683
   53972.962527    5266.3267     492.7028    5260.4388     492.7405    0.9636
   53973.038534    4969.8583     488.1165    4963.7766     488.1576    0.9656
   53974.062160    4987.5337     626.5639    4978.3562     626.6001    0.9576
   53974.991542    5329.7708     409.6154    5325.7634     409.6625    0.9568
   53975.964037    5463.6346     409.6943    5437.3339     409.7761    0.8864
   53976.064261    5360.9909     403.4879    5357.4072     403.5370    0.9445
   53979.003510    5650.8616     512.2525    5645.3886     512.2880    0.9750
   53979.088479    5665.4563     466.3329    5662.3272     466.3718    0.9829
   53979.170282    4454.9287     476.2053    4449.9975     476.2422    0.9279
   53980.117609    5274.5676     462.2932    5261.2667     462.3478    0.9462
   53980.988993    5852.4320     391.1956    5848.9516     391.2561    0.9652
   53982.939051    3669.8109     947.5728    3658.2991     947.6160    0.4539
   53983.977704    5897.3297     490.1663    5887.3878     490.2195    0.9638
   53984.053221    5303.1032     658.2947    5292.4761     658.3253    0.9188
   53984.162014    4187.0521     563.9023    4183.6849     563.9270    0.9228
   53984.997453    6570.5752     433.6102    6562.4121     433.6582    0.9681
   53985.112146    4643.5566     442.1756    4625.9633     442.2374    0.8549
   53985.198051    5925.1172     449.2445    5919.4298     449.2885    0.9632
   53987.038214    6540.1931     432.3898    6508.9393     432.4809    0.9224
   53987.186271    6333.5746     410.5937    6327.1614     410.6598    0.9737
   53988.023500    6670.6279     433.6664    6533.7108     433.8118    0.6604
   53988.044738    6433.3181     450.1884    6337.0942     450.3822    0.7243
   53988.115219   -2092.8852         -nan   12716.2089     612.2432    0.1209
